Algorithm,Block Size,Key Size,Value
c-AES,128,128,392.87,392.78,391.98,390.14,392.27
c-AES,128,192,389.91,388.82
c-AES,128,256,397.31,394.36,392.6,394.21,393.81
c-Grain-128a,-,128,619453.87,616938.03,607891.98,619068.48,615912.32,603885.76,602276.01
c-PRESENT,64,80,221.78,222.39,224.14,223.85,223.49
c-PRESENT,64,128,216.52,216.63,214.86
c-CLEFIA,128,128,153.99,153.58
c-CLEFIA,128,192,110.69,111.84
c-CLEFIA,128,256,85.62,86.0
c-MICKEY-80,-,80,83815.16,85110.68,74234.92,74328.82,73377.66
c-Trivium-80,-,80,127615.5,127599.09,114027.61,115766.15,113976.85
c-Salsa-128,-,128,7176998.16,7175764.24,7219494.19,7284091.76,7278285.25
c-Grain-v1-80,-,80,31224.28,31297.76,31222.75,31196.01,31414.07
c-Sosemanuk-128,-,128,12200768.02,12247924.49,12238253.91,11892154.71,12067006.86,12239132.44,12146325.41,12246930.42
py-PRESENT,64,80,3.41,3.41,3.41,3.41
py-PRESENT,64,128,3.36
py-XTEA,64,128,56.05,56.98
py-SIMON,32,64,34.77,34.2,34.47,34.83,34.61,34.54,34.61,34.84,35.01,34.67
py-SIMON,48,96,56.54,55.9,55.62,55.53,55.81,56.4,55.94,55.45,56.0,56.11
py-SIMON,64,96,59.13,59.31,59.4,58.98
py-SIMON,64,128,49.68,50.92,49.48,51.0
py-SIMON,128,128,74.18,72.41,74.42,73.07
py-SIMON,128,192,71.6,71.0,71.77,71.1
py-SIMON,128,256,64.85,66.66,64.84,66.61
py-SIMON,96,96,69.24,73.2,72.55,79.25,80.49,75.83,83.35
py-SPECK,32,64,6618.13,6717.09,6590.88,6735.37
py-SPECK,48,96,10570.95,10506.37,10521.16,10515.89
py-SPECK,64,96,11071.88,11062.48,11067.02,11046.71
py-SPECK,64,128,11601.92,11565.84,11575.17,11428.96
py-SPECK,128,128,18477.51,18263.93,18458.47,18565.08
py-SPECK,128,192,18372.48,18644.71,18835.93,18561.3
py-SPECK,128,256,17797.73,17884.4,17905.03,17953.66
