Algorithm,Block Size,Key Size,Value
c-AES,128,128,13.98,13.76,13.74,9.89
c-AES,128,192,10.68,8.84,8.95,8.95
c-AES,128,256,9.05,8.77,8.83,8.73,8.75,8.73
c-PRESENT,64,80,26.15,26.16,26.25,26.15,26.16
c-PRESENT,64,128,25.67,25.8,25.65,25.75,25.64
c-CLEFIA,128,128,20.46,19.84,19.86,19.88,19.85
c-CLEFIA,128,192,27.9,27.67,27.16,27.18,27.14
c-CLEFIA,128,256,33.92,33.82,33.74,33.8,33.74
c-ASCON,-,128,0.6,0.31,0.31,0.28,0.27
c-Grain-128a,-,128,0.51,0.48,0.49,0.46,0.48
c-MICKEY-80,-,80,4.38,4.27,4.21,4.23,4.14
c-Trivium-80,-,80,2.51,2.21,2.17,2.16,2.15
c-Salsa-128,-,128,0.05,0.05,0.05,0.05,0.05
py-PRESENT,64,80,875.5,867.33,868.59,875.2,867.06
py-PRESENT,64,128,840.87,840.41,859.53,854.25,854.97
py-SIMON,32,64,94.09,93.76,92.95,92.58,91.45
py-SIMON,48,96,68.6,68.41,68.95,68.97,68.52
py-SIMON,64,96,65.47,65.99,66.13,66.02,64.21
py-SIMON,64,128,67.43,67.89,67.64,68.0,67.27
py-SIMON,96,96,49.39,49.56,49.55,48.66,48.82
py-SIMON,128,128,50.04,49.75,49.68,50.05,49.62
py-SIMON,128,192,51.49,51.25,51.26,50.97,51.11
py-SIMON,128,256,52.42,53.06,53.23,52.49,52.82
py-SPECK,32,64,62.23,62.17,62.11,61.56,61.58
py-SPECK,48,96,44.08,42.97,42.63,42.48,42.88
py-SPECK,64,96,43.25,43.78,43.27,43.26,43.55
py-SPECK,64,128,45.95,45.44,45.12,44.99,45.04
py-SPECK,96,96,29.68,29.56,29.44,29.48,29.74
py-SPECK,128,128,25.49,25.51,25.48,25.61,25.39
py-SPECK,128,192,25.89,25.74,25.44,25.72,25.55
py-SPECK,128,256,26.65,26.49,26.69,26.72,26.14
py-XTEA,64,128,63.89,64.16,63.81,63.43,63.36
