Algorithm,Block Size,Key Size,Value
c-AES,128,128,3867.63,3895.04,3964.35,3911.11
c-AES,128,192,3433.45,5317.27,5492.84,5590.81
c-AES,128,256,5190.43,5319.29,5326.61,5390.42,5412.0,5384.18
c-PRESENT,64,80,1798.06,1800.7,1798.55,1798.42,1797.39
c-PRESENT,64,128,1801.63,1790.97,1793.0,1793.03,1793.27
c-CLEFIA,128,128,2204.57,2318.27,2325.68,2330.06,2325.17
c-CLEFIA,128,192,1735.3,1757.9,1788.84,1800.16,1798.53
c-CLEFIA,128,256,1429.15,1432.94,1434.2,1439.02,1434.89
c-ASCON,-,128,10119720.56,18363439.25,19347155.78,19929796.58,21014250.34
c-Grain-128a,-,128,11682067.24,12156440.32,12396660.98,12519998.35,12094430.42
c-MICKEY-80,-,80,1204677.73,1348829.42,1371091.05,1378228.89,1363214.72
c-Trivium-80,-,80,2134183.93,2745761.66,2887560.3,2935794.51,2945476.06
c-Salsa-128,-,128,87112552.06,116480492.47,120375833.27,124212196.79,114607439.14
c-Grain-v1,-,80,535150.92,538691.06,540039.6,539015.58,539972.19,535475.08
c-Sosemanuk-128,-,128,97228018.13,146827467.32,150856058.94,161791306.64,146793356.15,88206882.41,154348064.83,166231283.6,144455579.08,166302133.91
py-AES,128,128,20895.49,21065.25,21280.81,21578.3,21875.88
py-AES,128,192,18448.73,18803.01,18766.04,18683.41,18627.19
py-AES,128,256,15831.93,15907.07,15653.12,15781.94,15628.67,16034.72,15547.95,15952.46,16060.01,16200.35
py-PRESENT,64,80,53.67,53.4,53.92,53.41,53.88
py-PRESENT,64,128,55.85,56.15,54.95,54.37,55.27
py-XTEA,64,128,806.56,816.01,816.01,814.76,816.06
py-SIMON,32,64,489.62,506.89,502.38,507.83,513.14
py-SIMON,48,96,690.03,690.98,691.77,685.12,687.31
py-SIMON,64,96,720.93,715.45,710.67,713.26,720.84
py-SIMON,64,128,695.41,701.56,688.65,694.21,701.59
py-SIMON,96,96,942.31,945.68,953.72,953.85,966.35
py-SIMON,128,128,923.31,945.68,946.29,937.85,943.81
py-SIMON,128,192,917.51,916.52,915.61,921.57,923.09
py-SIMON,128,256,890.59,896.14,878.48,891.54,891.85
py-SPECK,32,64,101461.29,104445.89,105121.37,104880.47,104960.58
py-SPECK,48,96,151840.48,153189.84,155985.92,154503.68,153329.18
py-SPECK,64,96,164206.92,163860.82,166912.58,164332.01,163721.35
py-SPECK,64,128,158439.64,158863.51,155525.89,160059.56,159175.12
py-SPECK,96,96,242089.44,247289.57,244041.29,246099.44,243895.56
py-SPECK,128,128,279001.11,279318.26,282868.77,282691.71,288700.18
py-SPECK,128,192,271937.3,272953.77,276653.5,278396.0,277826.18
py-SPECK,128,256,268084.32,269956.5,266328.67,265149.03,271501.03

