Algorithm,Block Size,Key Size,Value
c-PRESENT,64,80,180.89,180.72,181.17,181.14,181.07,181.09,181.67,182.49,181.18,181.01
c-PRESENT,64,128,183.72,182.33,181.84,183.79,183.88,181.75,181.65,181.78,184.05,181.63
py-PRESENT,64,80,13693.36,13701.31,13718.98,13717.09
py-PRESENT,64,128,13926.31
py-XTEA,64,128,685.19,670.84,672.25,686.6,672.66,672.39,685.5,672.56,673.05,685.5
c-CLEFIA,128,128,278.89,278.99,279.0,279.05,279.04,279.56,279.33,279.45,279.51,279.28
c-CLEFIA,128,192,396.82,392.26,392.08,392.46,393.0,392.38,392.37,392.33,392.07,392.46
c-CLEFIA,128,256,509.42,509.67,509.42,509.51,510.18,508.81,508.89,508.77,508.86,509.0
py-SIMON,32,64,1344.47,1366.74,1356.31,1342.1,1350.49,1353.4,1350.82,1341.76,1335.27,1348.38
py-SIMON,48,96,826.76,836.25,840.55,841.87,837.6,828.82,835.66,843.05,834.71,833.13
py-SIMON,64,96,790.57,788.24,787.05,792.58
py-SIMON,64,128,940.96,918.11,944.73,916.62
py-SIMON,128,128,630.15,645.6,628.15,639.76
py-SIMON,128,192,652.87,658.45,651.36,657.44
py-SIMON,128,256,720.9,701.29,720.93,701.77
py-SIMON,96,96,675.14,638.62,644.31,589.88,580.79,616.48,560.86
py-SPECK,32,64,882.94,869.93,886.59,867.57
py-SPECK,48,96,552.78,556.18,555.39,555.67
py-SPECK,64,96,527.77,528.22,528.0,528.97
py-SPECK,64,128,503.66,505.23,504.82,511.28
py-SPECK,128,128,316.24,319.94,316.57,314.75
py-SPECK,128,192,318.05,313.41,310.23,314.82
py-SPECK,128,256,328.32,326.73,326.36,325.47
c-Grain-128a,-,128,9.55,9.46,9.44,9.5
