Algorithm,Block Size,Key Size,Value
c-PRESENT,64,80,179.59,181.0,181.26,181.33,181.4,181.17,181.86,181.37,182.29,181.27
c-PRESENT,64,128,182.51,181.42,182.46,181.41,184.06,182.6,182.17,181.54,181.3,183.55
py-PRESENT,64,80,13110.24,13112.27,13114.98,13112.18
py-PRESENT,64,128,14048.57
py-XTEA,64,128,598.93,590.28,598.53,591.66,590.65,590.99,590.88,591.15,591.35,591.38
c-CLEFIA,128,128,275.7,275.65,275.44,276.02,275.98,276.55,275.88,276.36,276.07,277.78
c-CLEFIA,128,192,391.28,391.76,391.49,391.65,392.42,391.82,391.79,391.67,391.93,391.68
c-CLEFIA,128,256,508.83,509.33,509.13,509.03,509.89,508.64,508.68,509.01,508.74,508.64
py-SIMON,32,64,1274.99,1287.91,1296.08,1287.2,1330.7,1265.06,1273.7,1269.69,1266.59,1270.34
py-SIMON,48,96,820.64,822.43,840.27,836.95,826.07,819.35,823.37,839.36,831.32,827.35
py-SIMON,64,96,809.47,807.37,805.7,806.84
py-SIMON,64,128,934.77,949.94,931.71,953.17
py-SIMON,128,128,643.32,633.2,640.56,631.45
py-SIMON,128,192,642.06,629.03,644.46,628.16
py-SIMON,128,256,702.31,714.23,699.22,715.46
py-SIMON,96,96,684.68,653.27,668.5,644.36,645.17,630.64,647.09
py-SPECK,32,64,921.37,929.07,908.23,922.85
py-SPECK,48,96,408.62,406.29,407.6,405.8
py-SPECK,64,96,415.3,414.29,415.6,415.72
py-SPECK,64,128,436.92,435.18,437.51,435.84
py-SPECK,128,128,254.73,256.28,254.9,251.27
py-SPECK,128,192,253.42,254.56,248.17,249.56
py-SPECK,128,256,264.1,263.55,256.05,255.88
c-Grain-128a,-,128,9.39,9.41,9.52,9.45
