Algorithm,Block Size,Key Size,Value
c-PRESENT,64,80,260.3,258.28,257.9,257.8,257.7,258.03,257.06,257.75,256.44,257.88
c-PRESENT,64,128,256.14,257.68,256.21,257.69,253.98,256.01,256.61,257.51,257.84,254.69
py-PRESENT,64,80,3.57,3.57,3.56,3.57
py-PRESENT,64,128,3.33
py-XTEA,64,128,78.05,79.2,78.1,79.01,79.15,79.1,79.11,79.08,79.05,79.05
c-CLEFIA,128,128,169.56,169.59,169.72,169.36,169.38,169.04,169.45,169.15,169.33,168.29
c-CLEFIA,128,192,119.47,119.33,119.41,119.36,119.12,119.31,119.32,119.35,119.27,119.35
c-CLEFIA,128,256,91.87,91.78,91.82,91.84,91.68,91.91,91.9,91.84,91.89,91.91
py-SIMON,32,64,36.66,36.3,36.07,36.32,35.13,36.95,36.7,36.82,36.91,36.8
py-SIMON,48,96,56.96,56.84,55.63,55.85,56.59,57.05,56.78,55.69,56.23,56.5
py-SIMON,64,96,57.75,57.9,58.02,57.94
py-SIMON,64,128,50.01,49.21,50.17,49.04
py-SIMON,128,128,72.67,73.83,72.98,74.03
py-SIMON,128,192,72.81,74.32,72.54,74.42
py-SIMON,128,256,66.56,65.45,66.86,65.34
py-SIMON,96,96,68.28,71.56,69.93,72.55,72.46,74.13,72.24
py-SPECK,32,64,6342.04,6289.5,6433.81,6331.91
py-SPECK,48,96,14300.33,14382.35,14336.01,14399.7
py-SPECK,64,96,14070.45,14104.51,14060.29,14056.17
py-SPECK,64,128,13373.99,13427.5,13355.89,13407.29
py-SPECK,128,128,22939.39,22801.1,22924.53,23255.15
py-SPECK,128,192,23058.23,22955.3,23545.66,23414.82
py-SPECK,128,256,22125.55,22172.13,22821.28,22836.77
c-Grain-128a,-,128,622083.21,620727.7,613500.18,618658.02
