Algorithm,Block Size,Key Size,Value
c-PRESENT,64,80,2029.7,2026.23,2016.08,2008.95,2006.13,2039.79,2043.75,2025.25,2023.89,2045.74
c-PRESENT,64,128,2051.64,2043.89,2047.57,2050.41,2052.16,2049.12,2047.85,2048.11,2044.84,2047.74
py-XTEA,64,128,806.63,850.57,853.42,857.94,865.74,852.85,863.86,857.09,852.62,853.07
c-CLEFIA,128,128,2647.12,2793.24,2809.06,2806.34,2800.73,2795.53,2790.37,2786.77,2791.27,2792.7
c-CLEFIA,128,192,1882.85,1894.89,1892.42,1894.02,1894.42,1899.98,1899.92,1892.84,1898.29,1900.06
c-CLEFIA,128,256,1460.15,1448.87,1448.78,1452.77,1456.98,1450.29,1447.52,1450.3,1452.84,1448.85
py-SIMON,32,64,534.68,543.02,547.36,546.79,547.23,546.62,544.78,544.91,543.69,539.85
py-SIMON,48,96,721.19,709.66,715.72,720.02,725.02,724.24,718.2,718.06,723.18,724.93
py-SIMON,64,96,785.71,795.0,795.13,794.86,795.15,795.92,797.59,790.04,789.13,791.19
py-SIMON,64,128,758.48,760.09,757.17,762.17,711.13,762.36,762.82,762.71,760.56,764.09
py-SIMON,128,128,1004.33,999.46,1004.89,1013.32,1011.25,1011.68,1010.47,1020.08,1004.9,1009.88
py-SIMON,128,192,995.64,990.55,996.08,998.83,989.53,984.09,981.36,991.24,1000.47,1001.14
py-SIMON,128,256,964.78,944.45,971.29,954.45,955.51,965.77,961.72,958.88,957.9,956.27
py-SPECK,32,64,108035.11,108853.18,110022.14,109863.79,110776.89,110639.53,110426.56,109720.08,109534.33,111549.25
py-SPECK,48,96,155795.16,156408.66,157180.79,157146.9,154913.46,157691.4,155836.36,155150.4,159038.93,159437.58
py-SPECK,64,96,162122.46,163853.22,164747.5,167478.87,167671.97,167374.51,168275.09,168167.62,167619.86,165135.68
py-SPECK,64,128,159523.28,162693.97,161174.68,161100.97,162214.25,162460.85,161613.45,162360.94,161615.74,160511.1
py-SPECK,128,128,264605.7,265809.84,272768.95,269798.26,272020.9,278281.58,272121.79,274432.56,278211.7,276758.96
py-SPECK,128,192,263281.27,261398.61,261199.55,263056.26,264831.09,267594.94,265573.97,268032.42,268541.09,267087.42
py-SPECK,128,256,251586.48,251918.92,256301.56,256644.35,256624.98,256957.08,252994.06,255307.19,253388.02,254190.63
c-ASCON,-,128,10134945.36,18686802.02,17725741.65,18110606.19,19447165.53,20181122.27,21608133.83,20442285.52,20461760.73,21820950.31
c-Grain-128a,-,128,11731980.61,12247447.17,12066839.21,12751240.24,12252588.3,12431997.17,12707879.87,12570581.29,12674273.62,12134874.95

