Algorithm,Block Size,Key Size,Value
c-AES,128,128,3717.88,5531.14,5975.18,5994.22,6310.49,6131.25,6093.41,6293.43,6195.64,6314.34
c-AES,128,192,3492.44,5661.97,5882.09,5982.08,6130.38,6155.72,6121.24,6099.81,6098.2,6055.68
c-AES,128,256,5221.18,5884.68,5881.89,6052.67,5939.47,6013.5,6075.76,5958.18,6004.03,5937.28
c-PRESENT,64,80,1819.09,1791.29,1808.78,1728.14,1791.54,1786.48,1815.59,1790.25,1818.97,1800.68
c-PRESENT,64,128,1802.09,1799.41,1823.29,1798.21,1784.3,1815.0,1800.37,1796.71,1804.78,1763.23
c-CLEFIA,128,128,1980.16,2209.03,2218.24,2204.49,2225.43,2167.98,2178.15,2207.93,2228.74,2209.49
c-CLEFIA,128,192,1464.74,1565.37,1585.2,1594.87,1584.41,1578.51,1589.15,1587.0,1582.4,1563.47
c-CLEFIA,128,256,1205.44,1236.8,1232.24,1240.29,1237.75,1222.97,1230.17,1226.91,1223.15,1225.17
c-ASCON,-,128,30574.15,36214.16,50781.75,121444.36,134134.83,150765.86,92936.27,133195.2,132882.4,79086.86
c-Grain-128a,-,128,67065.0,74414.95,94015.33,88477.97,90511.45,87649.89,93040.89,98933.26,98552.01,95862.45
c-Grain-v1,-,80,4167.24,4143.03,4323.37,4262.33,4346.27,4284.73,4336.28,4289.55,4341.81,4287.05
c-MICKEY-80,-,80,8814.44,10109.49,10816.05,10979.35,11449.06,11473.62,10606.07,11228.18,11362.25,11531.16
c-Trivium-80,-,80,15890.83,19367.13,18659.08,20517.85,20364.82,20821.41,21988.03,22231.39,22558.95,20092.83
c-Salsa-128,-,128,957981.33,938783.13,951128.63,971771.5,968768.89,949447.35,906327.0,927279.67,939855.6,902511.77
c-Sosemanuk-128,-,128,332124.73,369955.45,1005167.93,1035301.98,1050474.38,989829.38,995370.35,1046634.98,1002928.49,1048559.34
py-AES,128,128,179.35,192.62,193.62,201.12,199.0,200.61,199.91,197.36,205.94,202.63
py-AES,128,192,160.69,165.22,170.98,171.93,171.43,169.09,169.72,168.35,174.57,170.9
py-AES,128,256,142.18,141.94,147.28,147.16,147.77,147.89,146.77,149.0,149.07,150.07
py-PRESENT,64,80,63.13,64.74,65.0,66.76,63.81,67.6,65.12,67.08,65.78,67.03
py-PRESENT,64,128,63.82,65.9,66.57,66.08,67.06,68.3,66.79,67.39,67.1,67.63
py-XTEA,64,128,787.04,818.41,858.9,865.39,863.83,872.92,862.32,864.16,862.08,872.45
py-SIMON,32,64,512.96,543.6,539.1,559.69,532.18,542.93,561.28,534.3,545.06,528.58
py-SIMON,48,96,711.81,677.28,731.95,776.95,763.84,762.48,754.85,743.86,753.77,743.94
py-SIMON,64,96,736.52,747.72,807.52,813.79,813.7,796.12,812.62,783.83,780.7,771.87
py-SIMON,64,128,742.49,725.01,760.75,801.59,778.2,767.49,789.92,770.7,773.94,772.85
py-SIMON,96,96,1011.36,1005.62,1075.54,1101.83,1093.78,1032.03,1060.83,1054.9,1055.74,1090.0
py-SIMON,128,128,1045.43,1037.44,1068.66,1105.6,1098.46,1059.63,1062.11,1053.61,1073.42,1092.75
py-SIMON,128,192,1027.19,1048.47,1052.19,1089.95,1066.14,1077.2,1042.0,1043.49,1066.75,1086.54
py-SIMON,128,256,990.69,1014.65,988.24,979.69,989.13,975.7,1053.48,956.56,979.14,998.43
py-SPECK,32,64,808.25,793.75,812.96,812.11,844.19,818.49,783.46,807.73,829.22,825.55
py-SPECK,48,96,1168.62,1169.72,1193.12,1208.96,1231.35,1162.37,1203.87,1224.82,1198.56,1186.94
py-SPECK,64,96,1323.43,1268.69,1301.23,1341.67,1323.13,1262.62,1255.96,1328.62,1304.65,1298.39
py-SPECK,64,128,1287.09,1243.06,1272.26,1244.03,1248.7,1277.34,1244.09,1284.23,1281.81,1286.37
py-SPECK,96,96,1967.37,1866.31,1997.56,2004.68,2039.2,1965.71,1966.68,1980.42,1990.46,2006.68
py-SPECK,128,128,2162.75,2135.94,2118.19,2156.89,2225.94,2240.18,2180.88,2171.03,2201.66,2206.24
py-SPECK,128,192,2089.8,1963.08,2163.22,2250.02,2143.96,2183.93,2143.67,2077.15,2139.74,2099.07
py-SPECK,128,256,2013.32,2052.7,2109.34,2152.75,2151.53,2044.01,2044.53,2077.89,2112.49,2085.6
